Setup,Operation,Strategy,Tool,RPM,Feed,CuttingSpeed,DepthOfCut,StepOver,StepDown
Motor-Flange - Back,2D Pocket2 (14),pocket2d,#27 - Ø14mm flat (14mm Flat Endmill),4042.53555453414265,550.34103829819799,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897394
Motor-Flange - Back,Probe WCS2 (2),probe,#1 - Ø6mm probe (TS640 50x6),,1000mmpm,,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Motor-Flange - 160,Drill1 (11),drill,#4 - Ø7mm drill,1247.41097111339286,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Motor-Flange - 160,Drill1 (12),drill,#5 - Ø8mm drill,1247.41097111339286,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Motor-Flange - 160,Face-Top (3),face,#23 - Ø80mm face,tool_type == 'probe' ? 0 : tool_type == 'tap right hand' || tool_type == 'tap left hand' ? 500rpm : 5000rpm,1000.,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Motor-Flange - 160,2D Contour2 (7),contour2d,#27 - Ø14mm flat (14mm Flat Endmill),4042.53555453414265,550.34103829819799,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897394
Motor-Flange - 160,2D Pocket2 (12),pocket2d,#27 - Ø14mm flat (14mm Flat Endmill),4042.53555453414265,550.34103829819799,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897394
Motor-Flange - 160,2D Pocket2 (13),pocket2d,#27 - Ø14mm flat (14mm Flat Endmill),4042.53555453414265,550.34103829819799,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897394
Motor-Flange - 160,2D Pocket8 (2),pocket2d,#27 - Ø14mm flat (14mm Flat Endmill),4042.53555453414401,550.3410382981981,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897394
Motor-Flange - 160,Probe WCS2,probe,#1 - Ø6mm probe (TS640 50x6),,1000mmpm,,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Motor-Mount (2),Drill1 (6),drill,#4 - Ø7mm drill,1247.41097111339286,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Motor-Mount (2),Drill1 (10),drill,#7 - Ø6x1mm right tap,1247.41097111339286,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Motor-Mount (2),Drill1 (9),drill,#4 - Ø7mm drill,1247.41097111339286,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Motor-Mount (2),Drill1 (8),drill,#5 - Ø8mm drill,1247.41097111339286,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Motor-Mount (2),2D Pocket2 (6),pocket2d,#27 - Ø14mm flat (14mm Flat Endmill),4042.53555453414265,550.34103829819799,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897394
Barrel-Flange,Probe WCS1,probe,#100 - Ø6mm probe (TS640 50x6),,1000mmpm,,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
