Setup,Operation,Strategy,Tool,RPM,Feed,CuttingSpeed,DepthOfCut,StepOver,StepDown
Setup1,Face3,face,#23 - Ø80mm face,tool_type == 'probe' ? 0 : 5000rpm,1000.,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.3,tool_fluteLength * 0.9
Setup2,2D Pocket1,pocket2d,#5 - Ø10mm flat (10mm Cleaning),8085.07110906828348,3202.56334730078379,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897394
Setup2,2D Pocket1 (2),pocket2d,#5 - Ø9.55mm flat (10mm Cleaning),8085.07110906828348,3202.56334730078424,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897394
Setup2,Drill1,drill,#4 - Ø11mm drill,4158.03657037797348,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.3,tool_fluteLength * 0.9
Setup3,2D Pocket3,pocket2d,#18 - Ø14mm flat (12mm Flat Endmill),8085.07110906828348,3202.56334730078424,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897394
Setup3,2D Pocket3 (2),pocket2d,#13 - Ø10mm flat (12mm Flat Endmill),8085.07110906828348,3202.56334730078424,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,2.91817517655654,36.
Setup3,Drill1 (2),drill,#4 - Ø11mm drill,4158.03657037797348,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.3,tool_fluteLength * 0.9
Setup3,Drill1 (3),drill,#22 - Ø8x1.25mm right tap,4158.03657037797348,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.3,tool_fluteLength * 0.9
Setup3,2D Pocket8,pocket2d,#18 - Ø14mm flat (12mm Flat Endmill),8085.07110906828348,3202.56334730078424,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897394
Setup4,2D Pocket4,pocket2d,#13 - Ø10mm flat (12mm Flat Endmill),8085.07110906828348,3202.56334730078424,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897394
Setup4,2D Pocket4 (2),pocket2d,#13 - Ø10mm flat (10mm Flat Endmill),8085.07110906828348,3202.56334730078424,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,2.91817517655654,36.
Setup4,2D Pocket7,pocket2d,#13 - Ø10mm flat (10mm Flat Endmill),8085.07110906828348,3202.56334730078424,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897394
Setup4,2D Pocket7 (2),pocket2d,#13 - Ø10mm flat (10mm Flat Endmill),8085.07110906828348,3202.56334730078424,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897394
Setup4,Drill3,drill,#4 - Ø7mm drill,4158.03657037797348,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.3,tool_fluteLength * 0.9
Setup4 (2),2D Pocket4 (3),pocket2d,#13 - Ø10mm flat (12mm Flat Endmill),8085.07110906828348,3202.56334730078424,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897394
Setup4 (2),2D Pocket4 (4),pocket2d,#13 - Ø10mm flat (10mm Flat Endmill),8085.07110906828348,3202.56334730078424,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,2.91817517655654,36.
Setup4 (2),2D Pocket7 (3),pocket2d,#13 - Ø10mm flat (10mm Flat Endmill),8085.07110906828348,3202.56334730078424,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897394
Setup4 (2),2D Pocket7 (4),pocket2d,#13 - Ø10mm flat (10mm Flat Endmill),8085.07110906828348,3202.56334730078424,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897394
Setup4 (2),Drill3 (2),drill,#4 - Ø7mm drill,4158.03657037797348,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.3,tool_fluteLength * 0.9
Setup5,2D Pocket6,pocket2d,#13 - Ø10mm flat (10mm Flat Endmill),8085.07110906828348,3202.56334730078424,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,2.91817517655654,36.
