Setup,Operation,Strategy,Tool,RPM,Feed,CuttingSpeed,DepthOfCut,StepOver,StepDown
Top,Face-Top,face,#23 - Ø80mm face,4000 rpm,2000 mm/min,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Top,2D Contour2 (8),contour2d,#36 - Ø20mm flat (20-2F),6702.09 rpm,3205.73902987043084,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,3.03973536813053
Top,2D Contour2 (9),contour2d,#36 - Ø20mm flat (20-2F),6702.09 rpm,3205.73902987043084,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,3.03973536813053
Top,2D Contour2 (10),contour2d,#36 - Ø20mm flat (20-2F),6702.09 rpm,3205.73902987043084,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,3.03973536813053
Top,2D Pocket6 (5),pocket2d,#36 - Ø20mm flat (20-2F),6702.09 rpm,3205.7390298704313,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,10.,3.03973536813053
Top,2D Contour2 (11),contour2d,#27 - Ø14mm flat (14mm Flat HSS-2F),6702.09 rpm,3205.73902987043402,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,10.,3.03973536813053
Top,2D Contour2 (12),contour2d,#27 - Ø14mm flat (14mm Flat HSS-2F),6702.09 rpm,3205.73902987043402,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,10.,3.03973536813053
Top,Drill1 (2),drill,#7 - Ø10mm drill (spot-m10),4158.03657037797348,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Bottom,Face-Top (2),face,#23 - Ø80mm face,4000 rpm,2000 mm/min,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Bottom,2D Pocket6 (6),pocket2d,#36 - Ø20mm flat (20-2F),6702.09 rpm,3205.7390298704313,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,10.,3.03973536813053
Bottom,2D Contour2 (13),contour2d,#36 - Ø20mm flat (20-2F),6702.09 rpm,3205.73902987043084,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,3.03973536813053
Bottom,2D Contour2 (14),contour2d,#36 - Ø20mm flat (20-2F),6702.09 rpm,3205.73902987043084,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,3.03973536813053
Bottom,2D Contour2 (16),contour2d,#27 - Ø14mm flat (14mm Flat HSS-2F),6702.09 rpm,3205.73902987043402,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,10.,3.03973536813053
