Setup,Operation,Strategy,Tool,RPM,Feed,CuttingSpeed,DepthOfCut,StepOver,StepDown
male,Scallop1,scallop,#13 - Ø10mm ball (10 Ball Endmill),10000.,3176.72164948453474,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,8.,2.15903888302622
male,Scallop1 (2),scallop,#13 - Ø10mm ball (10 Ball Endmill),10000.,3176.72164948453474,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,8.,2.15903888302622
male,Scallop1 (3),scallop,#13 - Ø10mm ball (10 Ball Endmill),10000.,3176.72164948453474,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,8.,2.15903888302622
male,2D Pocket1,pocket2d,#30 - Ø17mm flat (17-2FC),10000.,3176.72164948453474,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,8.,2.15903888302622
male,2D Contour3,contour2d,#27 - Ø14mm flat (14 flat),12000.,3176.72164948453474,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,8.,2.15903888302622
male,2D Pocket1 (2),pocket2d,#27 - Ø14mm flat (14 flat),10000 rpm,3176.72164948453474,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,8.,2.15903888302622
male,Drill1 (15),drill,#3 - Ø7mm drill,1247.41097111339309,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
male,Drill1 (21),drill,#3 - Ø7mm drill,1247.41097111339309,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
male,Drill1 (16),drill,#7 - Ø10mm drill,4158.03657037797348,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
male,2D Contour3 (25),contour2d,#6 - Ø7.96mm flat (14 flat),8000.,3176.7199999999998,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,1.63373650458641,24.
male,2D Pocket21 (3),pocket2d,#2 - Ø4mm flat (14 flat),10000 rpm,1576.72 mm/min,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,8.,2.15903888302622
