Setup,Operation,Strategy,Tool,RPM,Feed,CuttingSpeed,DepthOfCut,StepOver,StepDown
Upper -Half ,Face1,face,#23 - Ø80mm face,tool_type == 'probe' ? 0 : 5000rpm,1000.,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.3,tool_fluteLength * 0.9
Upper -Half ,roughing,adaptive,#18 - Ø14mm flat (14mm Flat Endmill),8085.07110906828348,3202.56334730078379,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897394
Upper -Half ,roughing (2),adaptive,#18 - Ø14mm flat (14mm Flat Endmill),8085.07110906828348,3202.56334730078379,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897394
Upper -Half ,Adaptive1 (2),adaptive,#4 - Ø14.62mm flat (14.6 mm Flat Endmill - Finish),8085.07110906828348,3202.56334730078379,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,2.91817517655654,36.
Upper -Half ,2D Pocket1,pocket2d,#1 - Ø6mm flat (6 mm Flat Endmill - Finish),8085.07110906828348,3202.56334730078424,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897394
Upper -Half ,Flow1,flow,#1 - Ø6mm ball (6mm Ball Endmill),7000,3018.06556701030968,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,0.671572367887,18.
Upper -Half ,Scallop1 (2),scallop,#1 - Ø6mm flat (6 mm Flat Endmill - Finish),8085.07110906828348,4046.87231999604819,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,1.75226885299131,36.
Upper -Half ,Scallop6,scallop,#3 - Ø6mm ball (6mm Ball Endmill),10000 rpm,3018.06556701030968,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,0.671572367887,18.
Stock-Facing,Face2,face,#23 - Ø80mm face,tool_type == 'probe' ? 0 : 5000rpm,1000.,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.3,tool_fluteLength * 0.9
Setup3,Face3,face,#23 - Ø80mm face,tool_type == 'probe' ? 0 : 5000rpm,1000.,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.3,tool_fluteLength * 0.9
Setup3,Adaptive4,adaptive,#18 - Ø14mm flat (14mm Flat Endmill),8085.07110906828439,3202.56334730078424,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,2.91817517655654,36.
Setup3,Adaptive4 (2),adaptive,#18 - Ø14mm flat (14mm Flat Endmill),8085.07110906828439,3202.56334730078424,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,2.91817517655654,36.
Setup3,pocket-1-wall-cleaning,contour3d,#3 - Ø6mm ball (6mm Ball Endmill),8000 rpm,2388.43298969072066,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,6.,1.41471710366101
Setup3,pocket-1-wall-cleaning (2),contour3d,#1 - Ø2.95mm flat (mm),8085.07110906828348,3202.56334730078424,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897393
Setup3,pocket-1-wall-cleaning (3),contour3d,#1 - Ø2.95mm flat (mm),8085.07110906828348,3202.56334730078424,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897393
Setup3,pocket-2-wall-cleaning,contour3d,#3 - Ø6mm ball (6mm Ball Endmill),8000 rpm,2388.43298969072066,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,6.,1.41471710366101
Setup3,pocket-1-top-cleanig,pocket_clearing,#18 - Ø14mm flat (14mm Flat Endmill),8085.07110906828439,3202.56334730078424,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897394
Setup3,pocket-2-top-cleanig,pocket_clearing,#18 - Ø14mm flat (14mm Flat Endmill),8085.07110906828439,3202.56334730078424,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897394
Setup3,Morph1,morph,#1 - Ø2.95mm flat (mm),8085.07110906828348,3202.56334730078424,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897393
Setup3,Drill1,drill,#22 - Ø3mm spot drill,4158.03657037797348,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.3,tool_fluteLength * 0.9
Setup3,Drill1 (2),drill,#22 - Ø5mm spot drill,4158.03657037797348,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.3,tool_fluteLength * 0.9
Setup3,Drill1 (3),drill,#3 - Ø6mm drill,4158.03657037797348,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.3,tool_fluteLength * 0.9
Setup3,Drill1 (4),drill,#3 - Ø6mm drill,4158.03657037797348,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.3,tool_fluteLength * 0.9
2nd-Lower,Face3 (2),face,#23 - Ø80mm face,tool_type == 'probe' ? 0 : 5000rpm,1000.,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.3,tool_fluteLength * 0.9
2nd-Lower,Adaptive4 (3),adaptive,#18 - Ø14mm flat (14mm Flat Endmill),8085.07110906828439,3202.56334730078424,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,2.91817517655654,36.
2nd-Lower,Adaptive4 (4),adaptive,#18 - Ø14mm flat (14mm Flat Endmill),8085.07110906828439,3202.56334730078424,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,2.91817517655654,36.
2nd-Lower,pocket-1-wall-cleaning (6),contour3d,#3 - Ø6mm flat (6 mm Flat Endmill - Finish),8085.07110906828348,4046.87231999605865,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,1.75226885299131,36.
2nd-Lower,pocket-1-wall-cleaning (11),contour3d,#3 - Ø6mm flat (6 mm Flat Endmill - Finish),8085.07110906828348,4046.87231999605865,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,1.75226885299131,36.
2nd-Lower,pocket-1-wall-cleaning (7),contour3d,#1 - Ø2.95mm flat (mm),8085.07110906828348,3202.56334730078424,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897393
2nd-Lower,pocket-1-wall-cleaning (8),contour3d,#1 - Ø2.95mm flat (mm),8085.07110906828348,3202.56334730078424,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897393
2nd-Lower,pocket-2-wall-cleaning (2),contour3d,#3 - Ø6mm ball (6mm Ball Endmill),8000 rpm,2388.43298969072066,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,6.,1.41471710366101
2nd-Lower,pocket-1-top-cleanig (2),pocket_clearing,#18 - Ø14mm flat (14mm Flat Endmill),8085.07110906828439,3202.56334730078424,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897394
2nd-Lower,pocket-2-top-cleanig (2),pocket_clearing,#18 - Ø14mm flat (14mm Flat Endmill),8085.07110906828439,3202.56334730078424,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897394
