Setup,Operation,Strategy,Tool,RPM,Feed,CuttingSpeed,DepthOfCut,StepOver,StepDown
Stock-Facing,Face-1.5,face,#23 - Ø80mm face,tool_type == 'probe' ? 0 : tool_type == 'tap right hand' || tool_type == 'tap left hand' ? 500rpm : 5000rpm,1000.,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.3,tool_fluteLength * 0.9
Stock-Facing,Face-0.6,face,#23 - Ø80mm face,tool_type == 'probe' ? 0 : tool_type == 'tap right hand' || tool_type == 'tap left hand' ? 500rpm : 5000rpm,1000.,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.3,tool_fluteLength * 0.9
LatheHandle,2D Adaptive - Roughing,adaptive2d,#27 - Ø14mm flat (14mm Flat Endmill),4042.5355545341431,494.96388573473314,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,2.91817517655654,36.
LatheHandle,2D Contour - Cleaning,contour2d,#27 - Ø14mm flat (14mm Flat Endmill),4042.53555453414265,494.96388573473303,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,2.91817517655654,36.
LatheHandle - Bottom,2D Adaptive - Roughing (2),adaptive2d,#27 - Ø14mm flat (14mm Flat Endmill),4042.5355545341431,494.96388573473314,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,2.91817517655654,36.
LatheHandle - Bottom,2D Contour - Cleaning (2),contour2d,#27 - Ø14mm flat (14mm Flat Endmill),4042.53555453414265,494.96388573473303,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,2.91817517655654,36.
Top - Cleaning,Contour - Roughing,contour3d,#10 - Ø32mm face,tool_type == 'probe' ? 0 : tool_type == 'tap right hand' || tool_type == 'tap left hand' ? 500rpm : 5000rpm,2000.,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.3,tool_fluteLength * 0.9
Top - Cleaning,Rest-Removal,contour2d,#10 - Ø32mm face,tool_type == 'probe' ? 0 : tool_type == 'tap right hand' || tool_type == 'tap left hand' ? 500rpm : 5000rpm,1000.,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.3,tool_fluteLength * 0.9
Top - Cleaning,Contour - Cleaning,contour3d,#12 - Ø10mm ball (10mm Ball Endmill),9702.08533088193872,4050.87368003380016,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,1.34657845604351,30.
Bottom - Cleaning,2D Pocket1,pocket2d,#12 - Ø10mm ball (10mm Ball Endmill),9702.08533088193508,4050.87368003380016,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,1.34657845604351,30.
Bottom - Cleaning,Contour - Final,contour3d,#12 - Ø10mm ball (10mm Ball Endmill),9702.08533088193508,3205.73902987042993,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,10.,3.03973536813053
Bottom - Cleaning,Register,contour2d,#27 - Ø14mm flat (14mm Flat Endmill),8085.07110906828439,3202.56334730078424,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897394
Bottom - Cleaning,Adaptive1,adaptive,#12 - Ø10mm ball (10mm Ball Endmill),9702.08533088193326,3205.73902987043039,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,10.,3.03973536813053
